Fecha;Fecha_Apertura;Producto;Ventas;Intereses;Comisiones
30/04/2024;4/11/2022;PHIP;4,362.95;26.38;0.22
30/04/2024;12/11/2022;PCRFA;5,580.97;98.45;0.00
30/04/2024;15/11/2022;PCRFA;7,689.13;124.49;0.00
30/04/2024;18/11/2022;PCRFA;5,692.66;106.17;0.00
30/04/2024;21/11/2022;PCRFA;7,079.47;120.65;0.00
30/04/2024;20/12/2022;PVEH;658.71;4.38;0.07
30/04/2024;23/12/2022;PVEH;0.00;0.00;0.00
30/04/2024;29/12/2022;PHIP;35,964.67;207.92;0.74
30/04/2024;29/12/2022;PVEH;497.41;4.19;0.20
30/04/2024;4/01/2023;PHIP;6,913.11;44.78;0.02
30/04/2024;12/01/2023;PCRFA;3,275.60;61.81;0.00
30/04/2024;15/01/2023;PCRFA;689.38;10.74;0.00
30/04/2024;18/01/2023;PCRFA;6,954.36;101.40;0.25
30/04/2024;21/01/2023;PCRFA;2,515.13;48.57;0.00
30/04/2024;22/02/2023;PVEH;351.49;2.42;0.01
30/04/2024;28/02/2023;PHIP;4,472.71;25.88;0.30
30/04/2024;28/02/2023;PVEH;407.61;2.72;0.05
30/04/2024;14/03/2023;PCRFA;3,391.75;48.05;0.00
30/04/2024;17/03/2023;PCRFA;2,529.39;38.36;2.03
30/04/2024;20/03/2023;PCRFA;2,032.03;34.75;0.00
30/04/2024;23/03/2023;PCRFA;2,966.35;51.55;1.00
30/04/2024;21/04/2023;PVEH;712.25;4.70;0.06
30/04/2024;24/04/2023;PHIP;4,234.36;25.30;0.06
30/04/2024;24/04/2023;PVEH;662.39;4.59;0.07
30/04/2024;27/04/2023;PHIP;30,930.04;144.29;0.03
30/04/2024;27/04/2023;PVEH;945.79;6.64;0.14
30/04/2024;3/05/2023;PHIP;2,135.03;12.28;0.00
30/04/2024;14/05/2023;PCRFA;442.74;11.33;0.00
30/04/2024;17/05/2023;PCRFA;3,280.26;60.53;3.17
30/04/2024;20/05/2023;PCRFA;1,511.30;39.64;0.18
30/04/2024;21/06/2023;PVEH;634.50;4.02;0.06
30/04/2024;27/06/2023;PHIP;6,883.81;39.61;0.32
30/04/2024;27/06/2023;PVEH;657.16;4.40;0.10
30/04/2024;11/07/2023;PCRFA;1,999.22;42.35;1.19
30/04/2024;14/07/2023;PCRFA;2,947.74;66.71;0.02
30/04/2024;17/07/2023;PCRFA;1,431.41;32.91;0.92
30/04/2024;20/07/2023;PCRFA;2,932.47;52.18;0.01
30/04/2024;18/08/2023;PVEH;952.95;5.48;0.15
30/04/2024;21/08/2023;PVEH;180.26;1.04;0.04
30/04/2024;24/08/2023;PHIP;1,995.32;13.42;0.06
30/04/2024;24/08/2023;PVEH;329.02;1.93;0.03
30/04/2024;30/08/2023;PHIP;4,486.15;29.81;0.12
30/04/2024;10/09/2023;PCRFA;404.50;10.86;1.71
30/04/2024;13/09/2023;PCRFA;2,995.62;58.97;0.00
30/04/2024;16/09/2023;PCRFA;1,926.21;42.37;0.02
30/04/2024;19/09/2023;PCRFA;3,289.89;57.53;1.19
30/04/2024;18/10/2023;PVEH;326.78;2.52;0.02
30/04/2024;24/10/2023;PHIP;1,457.55;7.73;0.07
30/04/2024;24/10/2023;PVEH;1,239.23;7.03;0.32
30/04/2024;27/10/2023;PHIP;3,088.39;18.06;0.11
30/04/2024;27/10/2023;PVEH;2,349.96;13.56;0.57
30/04/2024;30/10/2023;PHIP;21,838.84;124.43;0.26
30/04/2024;10/11/2023;PCRFA;3,260.48;68.22;0.00
30/04/2024;13/11/2023;PCRFA;4,764.92;90.15;0.00
30/04/2024;16/11/2023;PCRFA;3,725.07;75.30;0.00
30/04/2024;19/11/2023;PCRFA;409.90;11.96;0.43
30/04/2024;18/12/2023;PVEH;811.35;4.67;0.04
30/04/2024;21/12/2023;PHIP;2,790.49;18.61;0.08
30/04/2024;21/12/2023;PVEH;840.42;4.85;0.10
30/04/2024;27/12/2023;PHIP;11,846.87;62.98;0.41
30/04/2024;27/12/2023;PVEH;2,197.00;12.70;0.21
30/04/2024;10/01/2024;PCRFA;3,127.79;70.08;0.00
30/04/2024;13/01/2024;PCRFA;4,087.10;75.86;0.00
30/04/2024;16/01/2024;PCRFA;3,694.20;69.53;0.00
30/04/2024;20/02/2024;PHIP;1,784.76;10.42;0.12
30/04/2024;20/02/2024;PVEH;1,114.44;6.85;0.16
30/04/2024;23/02/2024;PHIP;197.84;1.22;0.00
30/04/2024;23/02/2024;PVEH;467.19;2.86;0.11
30/04/2024;26/02/2024;PHIP;7,908.16;43.64;0.22
30/04/2024;29/02/2024;PHIP;8,838.49;58.49;47.94
30/04/2024;8/03/2024;PCRFA;4,453.23;58.59;0.00
30/04/2024;11/03/2024;PCRFA;2,320.94;34.20;0.00
30/04/2024;14/03/2024;PCRFA;8,150.15;109.34;0.00
30/04/2024;17/03/2024;PCRFA;485.70;12.78;0.00
30/04/2024;15/04/2024;PVEH;54.28;0.40;0.00
30/04/2024;18/04/2024;PVEH;63.02;0.47;0.00
30/04/2024;24/04/2024;PHIP;168.72;1.07;7.00
30/04/2024;30/04/2024;PHIP;230.94;1.25;0.00
30/04/2024;14/08/2007;PHIP;0.00;0.00;0.00
30/04/2024;14/12/2007;PHIP;50.51;0.36;0.00
30/04/2024;17/12/2007;PHIP;2,205.89;14.23;0.00
30/04/2024;8/04/2008;PHIP;99.21;0.32;0.00
30/04/2024;3/12/2009;PHIP;52.27;0.46;0.01
30/04/2024;5/02/2010;PHIP;74.17;0.64;0.00
30/04/2024;7/04/2010;PHIP;0.64;0.01;0.00
30/04/2024;1/06/2010;PHIP;303.05;2.55;0.02
30/04/2024;15/06/2010;PVIVIENDA;149.45;1.10;0.00
30/04/2024;18/06/2010;PVIVIENDA;118.42;0.85;0.00
30/04/2024;4/08/2010;PHIP;16.22;0.14;0.01
30/04/2024;1/10/2010;PHIP;41.51;0.31;0.01
30/04/2024;28/01/2011;PHIP;454.96;-23.99;0.00
30/04/2024;3/02/2011;PHIP;80.07;0.66;0.00
30/04/2024;30/03/2011;PHIP;81.01;0.63;0.24
30/04/2024;27/05/2011;PHIP;127.89;0.96;0.00
30/04/2024;27/07/2011;PHIP;121.77;0.89;0.02
30/04/2024;23/09/2011;PHIP;194.50;1.21;0.00
30/04/2024;26/09/2011;PHIP;70.73;0.54;0.01
30/04/2024;29/09/2011;PHIP;163.64;1.13;0.01
30/04/2024;29/11/2011;PHIP;318.24;2.33;0.02
30/04/2024;2/12/2011;PHIP;384.98;2.80;0.06
30/04/2024;26/01/2012;PHIP;904.62;6.32;0.03
30/04/2024;24/07/2012;PHIP;122.80;1.01;0.01
30/04/2024;27/07/2012;PHIP;452.69;2.80;0.00
30/04/2024;23/11/2012;PHIP;284.46;2.05;0.02
30/04/2024;17/01/2013;PHIP;1,163.36;8.88;0.03
30/04/2024;23/01/2013;PHIP;120.10;0.89;0.01
30/04/2024;22/03/2013;PHIP;581.91;4.04;0.03
30/04/2024;25/03/2013;PHIP;238.53;1.94;0.02
30/04/2024;25/07/2013;PHIP;464.80;3.23;0.02
30/04/2024;15/01/2014;PHIP;535.07;3.37;0.01
30/04/2024;21/01/2014;PHIP;571.84;3.79;0.06
30/04/2024;17/03/2014;PHIP;384.62;2.48;0.04
30/04/2024;20/03/2014;PHIP;1,336.27;9.00;0.09
30/04/2024;14/07/2014;PHIP;1,552.53;10.68;0.07
30/04/2024;23/07/2014;PHIP;232.41;1.48;0.02
30/04/2024;19/09/2014;PHIP;396.13;2.75;0.02
30/04/2024;22/09/2014;PHIP;566.81;3.94;0.01
30/04/2024;13/11/2014;PHIP;388.22;3.02;0.02
30/04/2024;19/01/2015;PHIP;1,151.65;8.58;0.05
30/04/2024;12/03/2015;PHIP;601.10;4.14;14.36
30/04/2024;18/03/2015;PHIP;218.50;1.64;0.01
30/04/2024;15/05/2015;PHIP;56.69;0.34;0.02
30/04/2024;15/07/2015;PHIP;62.56;0.46;0.01
30/04/2024;21/07/2015;PHIP;953.58;5.84;0.05
30/04/2024;14/09/2015;PHIP;618.60;5.59;0.01
30/04/2024;11/11/2015;PHIP;521.53;3.64;0.00
30/04/2024;14/01/2016;PHIP;0.00;0.00;0.00
30/04/2024;9/03/2016;PHIP;364.83;3.23;0.03
30/04/2024;15/03/2016;PHIP;1,444.51;9.55;0.00
30/04/2024;18/03/2016;PHIP;851.23;6.41;0.08
30/04/2024;12/07/2016;PHIP;1,864.33;11.28;0.02
30/04/2024;5/09/2016;PHIP;79.92;0.64;0.01
30/04/2024;8/09/2016;PHIP;214.29;1.93;0.00
30/04/2024;14/09/2016;PHIP;95.56;0.73;0.01
30/04/2024;8/11/2016;PHIP;1,638.16;10.65;0.08
30/04/2024;11/11/2016;PHIP;1,953.24;12.70;0.09
30/04/2024;14/11/2016;PHIP;744.16;4.77;0.02
30/04/2024;11/01/2017;PHIP;480.00;3.89;0.00
30/04/2024;10/03/2017;PHIP;48.23;0.37;0.01
30/04/2024;13/03/2017;PHIP;1,791.73;9.45;0.07
30/04/2024;10/05/2017;PHIP;166.53;1.35;0.01
30/04/2024;4/07/2017;PHIP;95.70;0.61;0.05
30/04/2024;7/07/2017;PHIP;636.92;4.14;0.00
30/04/2024;10/07/2017;PHIP;749.57;5.09;0.04
30/04/2024;13/07/2017;PHIP;14.81;0.20;0.00
30/04/2024;6/09/2017;PHIP;566.88;3.43;0.02
30/04/2024;9/11/2017;PHIP;1,040.87;6.19;0.00
30/04/2024;28/12/2017;PVEH;68.43;0.63;0.00
30/04/2024;3/01/2018;PHIP;127.15;0.98;0.01
30/04/2024;2/03/2018;PHIP;0.00;0.00;0.00
30/04/2024;11/05/2018;PHIP;447.48;3.11;0.04
30/04/2024;29/08/2018;PHIP;2,988.09;17.97;0.07
30/04/2024;29/10/2018;PHIP;1,076.59;6.86;0.05
30/04/2024;26/12/2018;PVEH;0.00;0.00;0.00
30/04/2024;22/02/2019;PVEH;0.00;0.00;0.00
30/04/2024;25/02/2019;PVEH;0.00;0.00;0.00
30/04/2024;28/02/2019;PHIP;1,678.45;10.91;0.08
30/04/2024;6/03/2019;PHIP;967.85;6.73;0.04
30/04/2024;24/04/2019;PVEH;0.19;0.00;0.00
30/04/2024;30/04/2019;PHIP;2,225.21;17.29;0.06
30/04/2024;30/04/2019;PVEH;4.66;0.01;0.00
30/04/2024;3/05/2019;PHIP;1,647.27;10.62;0.10
30/04/2024;3/05/2019;PVEH;10.02;0.02;0.00
30/04/2024;6/05/2019;PHIP;642.77;3.65;0.01
30/04/2024;27/06/2019;PHIP;2,814.40;18.90;0.05
30/04/2024;27/06/2019;PVEH;42.71;0.32;0.00
30/04/2024;3/07/2019;PHIP;241.09;1.56;0.01
30/04/2024;17/07/2019;PCRFA;0.00;0.00;0.00
30/04/2024;20/07/2019;PCRFA;0.00;0.00;0.00
30/04/2024;23/07/2019;PCRFA;0.00;0.00;0.00
30/04/2024;21/08/2019;PVEH;76.70;0.65;0.01
30/04/2024;27/08/2019;PHIP;2,630.66;16.41;0.07
30/04/2024;30/08/2019;PHIP;518.96;3.28;0.01
30/04/2024;30/08/2019;PVEH;13.24;0.08;0.02
30/04/2024;13/09/2019;PCRFA;0.18;-0.02;0.00
30/04/2024;24/10/2019;PVEH;64.79;0.47;0.02
30/04/2024;30/10/2019;PHIP;3,789.97;25.32;0.17
30/04/2024;30/10/2019;PVEH;85.58;0.96;0.02
30/04/2024;13/11/2019;PCRFA;0.00;0.00;0.00
30/04/2024;16/11/2019;PCRFA;3.55;0.06;0.00
30/04/2024;19/11/2019;PCRFA;1.67;0.04;0.00
30/04/2024;22/11/2019;PCRFA;0.00;0.00;0.00
30/04/2024;24/12/2019;PHIP;1,306.21;9.85;0.09
30/04/2024;27/12/2019;PHIP;4,252.94;28.45;0.16
30/04/2024;27/12/2019;PVEH;126.09;0.97;0.04
30/04/2024;30/12/2019;PVEH;305.01;2.35;0.07
30/04/2024;13/01/2020;PCRFA;2.92;0.06;0.00
30/04/2024;16/01/2020;PCRFA;3.31;0.07;0.00
30/04/2024;19/01/2020;PCRFA;0.00;0.00;0.00
30/04/2024;26/02/2020;PHIP;1,558.64;11.60;0.06
30/04/2024;26/02/2020;PVEH;99.08;0.70;0.00
30/04/2024;11/03/2020;PCRFA;1.66;0.04;0.00
30/04/2024;14/03/2020;PCRFA;0.85;0.02;0.00
30/04/2024;17/03/2020;PCRFA;3.50;0.13;0.00
30/04/2024;20/03/2020;PCRFA;1.10;0.03;0.00
30/04/2024;24/04/2020;PHIP;556.34;3.91;0.03
30/04/2024;27/04/2020;PHIP;2,438.21;17.51;0.05
30/04/2024;27/04/2020;PVEH;23.03;0.17;0.02
30/04/2024;30/04/2020;PHIP;1,837.72;12.23;0.03
30/04/2024;11/05/2020;PCRFA;58.23;1.25;0.00
30/04/2024;14/05/2020;PCRFA;52.29;1.00;0.00
30/04/2024;20/05/2020;PCRFA;8.45;0.21;0.00
30/04/2024;18/06/2020;PVEH;67.21;0.53;0.03
30/04/2024;11/07/2020;PCRFA;37.70;0.80;0.00
30/04/2024;14/07/2020;PCRFA;47.02;1.03;0.00
30/04/2024;17/07/2020;PCRFA;101.08;2.42;0.00
30/04/2024;20/07/2020;PCRFA;29.79;0.54;0.00
30/04/2024;18/08/2020;PVEH;88.36;0.63;0.01
